,job_title,company,job_location,job_summary,post_date,today,job_salary,company_id,job_requirement,eligibility,experience_req
1413,Equity Analyst,Value Research India,"Remote in Noida, Uttar Pradesh","Must have an aptitude for data analysis and basic knowledge of Excel.,Spot and write analysis-driven or topical articles on Indian markets, industries and…",Posted21 days ago,2022-07-26,,1414,"- Receiving corporate telephone calls, offering general information on
the Bank's system;
- Receiving and providing information about the Bank's operations to
both existing and potential clients;
- Readdressing telephone calls.",Everyone,3 Years Job Exp.
1416,Data Engineer / Data Analyst,Adglobal360 India,"Gurgaon, Haryana","Work with data and analytics experts to strive for greater functionality in our data systems.,Drive KPI using the data.",Posted30+ days ago,2022-07-26,,1417,"Your duties will include helping students to
locate suitable workbooks and computer programs to aid their English
language needs. You will also be expected to design materials and tests
for language learners as well as perform administrative duties linked to
the centre.
You will be aided in your job by an experienced computer technician.
Some training abroad will be required.",Knowledge of web and graphic design,3 Years Job Exp.
1418,Data Analyst,Bar Code India,"Gurgaon, Haryana","Acquire data from primary or secondary data sources and maintain databases/data systems.,He will study existing customer data.,Accuracy and attention to detail.",Posted30+ days ago,2022-07-26,,1419,"- Good knowledge of Armenian accounting standards;
- Prepare taxation reports;
- Prepare quarterly and annual accounting reports of the company;
- Organizing the activities of accountants of the company.",All interested and qualified candidates.,2 Years Job Exp.
1419,"Remote Data Analyst (Tableau, Qlikview, Spotfire, and PowerB...",Turing,Remote,"The selected candidate will be tasked with developing new data validation methods and data analysis tools.,Ensure the correct usage of existing data sources,…",EmployerActive 4 days ago,2022-07-26,,1420,"- Making reports to the chief accountant of the company;
- Makiong General Cashier reports;
- Preparation of quarterly accounting reports of the company.",All interested and qualified candidates.,2 Years Job Exp.
1420,"Data Analyst, Weather/Altitude Network",NextNav,"Bengaluru, Karnataka","Strong analytical skills, with a solid foundation in statistics and data processing, including data reduction, regression, automation, and visualization.",Posted30+ days ago,2022-07-26,,1421,"- Making and answering phone calls, addressing incoming calls to
relevant employees;
- Accepting visitors;
- Processing, registering and filing correspondence;
- Translating/interpreting;
- Drafting letters;
- Carrying out other tasks as designated by the CEO.",All interested and qualified candidates.,< 1 Year
1422,Lead Data Analyst,PowerSchool Group LLC,"Remote in Bengaluru, Karnataka","3-5 years’ prior experience in a data analyst role.,Conduct data analysis; evaluate business processes; determine business needs; identify requirements; develop…",Posted17 days ago,2022-07-26,,1423,"- Learn and understand the DoubleClick DART Enterprise technology and
functionality, understand the surrounding systems, and system
architecture as it maps to our business needs.
- Become an expert in customising and integrating the DoubleClick
AdServer software.
- Prepare technical recommendations and define technical specifications
taking business requirements into account for development projects set
by Customer Care team.
- Documentation
- You will be responsible for completion of development projects within
agreed time-frames. Perform work planning, development, and second level
support for ad management.",All interested and qualified candidates.,2 Years Job Exp.
1423,Banking.Data Management Analyst,Citco,"Hyderabad, Telangana","Analyze data using Microsoft Excel and produce reports for the internal and external stakeholders;,Maintain and update customer data in Citco Banks information…",Posted30+ days ago,2022-07-26,,1424,"- Evaluate proposals of construction projects and check the budgets
proposed to SC for financing. Assess appropriateness of costs, volumes
and prices proposed. Ensure compliance of costs and prices proposed with
current market prices. When necessary, conduct site visits to make sure
that the project-related documents submitted for SC review and approval
are adequately reflecting the scope of construction works and are in
compliance with the program indicators. Provide the Program Manager with
detailed conclusions about construction component(s) of proposals
including quality of technical proposals and technical feasibility of
proposed construction activities.
- Throughout the implementation process, work with non-SC construction
engineers to ensure compliance of works with the norms and regulations
of RA and donor requirements. When required, suggest necessary
changes/adjustments to the budgets and project proposals to ensure cost
and resource efficiency of construction projects.
- Monitor and evaluate construction-related activities of all projects
and bring to Program Managers attention any discrepancy between the
actual activities and the original design of the project. Work with
sub-grantees staff engineers and site engineers to eliminate defects
(if any) and improve quality of construction works. Assess volume of
implemented construction works at project sites and suggest measures to
minimize idle time.
- Ensure availability of all required technical documentation on
construction projects, including those required by RA law and
regulations. When necessary, participate in inspections of project sites
conducted by authorized organizations. Conduct close-out monitoring of
construction sites.
- Train the sub-grantee (and when necessary, train community workers) on
construction aspects of the projects including norms and regulations,
inspections and safety on construction sites. Periodically check related
technical documentation, materials logs and journals maintained by site
engineers and community active groups. Advise the SC sub-grantee and
community groups on sustainability aspects of collective centers and
assist the Civic Action Groups in development of facility maintenance
plans.",All interested and qualified candidates.,< 1 Year
1425,Data Analyst,Carlson Wagonlit Travel,"Gurgaon, Haryana","Understanding of end-to-end data processes and data flow and Products.,Maintaining and improving the data flow globally.,Review reports to measure & meet KPI’s.",Posted30+ days ago,2022-07-26,,1426,"- Single point of contact for mid-sized European customers;
- Complete Project Management for the implementation of campaigns;
- Efficient communication and co-ordination with European Product
Management;
- Regular analysis of campaign performance, self responsible
optimisation of campaigns and presentation to customers;
- Complaint management;
- Management of a small team including: establish team processes, ensure
highest possible quality and service to client, check the quality of
bookings from team, ensure daily operations, goal setting, evaluation
and motivation of team.",All interested and qualified candidates.,3 Years Job Exp.
1426,Data Analyst,GO MO Group,"Pune, Maharashtra","Hands-on expertise in data research skills using available resources.,Devise and evaluate methods for collecting data, interpreting information and collating in…",Posted30+ days ago,2022-07-26,,1427,"- Learn and understand the DoubleClick DART Enterprise technology and
functionality, understand the surrounding systems, and system
architecture as it maps to our business needs.
- Become an expert in customising and integrating the DoubleClick
AdServer software.
- Development and maintenance of our Sales supporting systems.
- Programming of pre-defined project assignments.",All interested and qualified candidates.,5 Years Job Exp.
1428,Data Analyst,HRhelpdesk,"Bengaluru, Karnataka","Knowledge of data modelling through entity relationship/ORM tools and data normalization are a plus.,Responsibilities: - The role will be part of larger Tech…",Posted30+ days ago,2022-07-26,"₹10,00,000 - ₹15,00,000 a year",1429,"- Country contact for one of the regions Germany, UK, France, Denmark,
Sweden, Italy, Spain and the Netherlands;
- Validation of incoming orders on their correctness;
- Accurate and timely set up of campaign and campaign related
information within the necessary tools (Doubleclick Adserver/ SAP);
- Monitoring, Analysing and Reporting of campaign performance for
assigned advertisers;
- Coordination of campaign optimization with sales force;
- Effective communication and co-operation with sales force and client.",All interested and qualified candidates.,< 1 Year
1432,Business Analyst,Q UP APP- 3409Tech venture pvt. ltd,"Remote in Pune, Maharashtra","Utilizing IT data for business insights.,Business analyst: 1 year (Preferred).,Understanding strategic business needs and plans for growth.",EmployerActive 3 days ago,2022-07-26,"₹15,000 - ₹25,000 a month",1433,"- Ensurance of highest possible quality of service and communication to
the European sales organizations;
- Information management: communication of changes in tools, new ad
forms etc.;
- Establishment of department performance metrics;
- Initiation of new tools to optimise the departments workflow;
- Customer work: efficient communication with customers/ complaint
handling;
- Work with direct reports to ensure they are properly trained on all
systems needed to perform their job;
- Ensure that team follows department practices in work flow and
documentation; 
- Monitoring of campaign status reports;
- Setting goals for staff and evaluating performance, recruiting.",All interested and qualified candidates.,< 1 Year
1433,Data Analyst - Senior Associate 2,PwC,"Bengaluru, Karnataka","Able to assess the effectiveness and accuracy of new data sources and data gathering techniques.,Knowledge of designing, implementing, deploying, and…",Posted30+ days ago,2022-07-26,,1434,"- Assist foreign guests and participants;
- Write letters;
- Translate texts and documents, simultaneus translation of films.",All interested and qualified candidates.,< 1 Year
1434,Business Analyst,Paytm,"Bengaluru, Karnataka","You will execute quantitative analysis that translates data into actionable insights.,Penchant for business and persistence to work with data to derive insights…",Posted30+ days ago,2022-07-26,,1435,"- To meet, help and assist festival guests and participants;
- Organize excursions.",All interested and qualified candidates.,< 1 Year
1436,CRM Database Administrator/Analyst,c3controls,"Temporarily Remote in Mumbai, Maharashtra","Ability to present complex data clearly.,Develop data mining and customer prospect profiling.,The successful candidate will drive business insights and…",PostedToday,2022-07-26,"₹30,000 - ₹60,000 a month",1437,"Database development:
- Writing stored procedures and triggers;
- Managing and tuning the Database performance.",All interested and qualified candidates.,1 Year Job Exp.
1438,Senior Business Analyst,ixigo,Haryana,"Provide solutions for data modeling, usability & management of different data sources.,Execute data projects and reports from end to end.",PostedJust posted,2022-07-26,,1439,"- Creates substantive knowledge of population and development,
reproductive health and gender issues in the country, assesses technical
assistance needs in these areas and advises on the suitability of
programmes and projects to meet these needs. Addresses policy issues and
provides substantive inputs to facilitate policy dialogue and the
incorporation of these policies into national plans and strategies, UN
systems initiatives and development frameworks such as Common Country
Assessment (CCA), UN Development Assistance Framework (UNDAF), Poverty
Reduction Strategies (PRSP), Millennium Development Goals (MDGs).
- Provides substantive leadership and inputs into the design and
formulation of programmes and projects translating UNFPAs mandate and
strategic priorities into local interventions, and responding to
Government plans and priorities. Introduces into the project formulation
process the results of programme and project reviews and evaluations,
best practices, as well as innovative strategies, approaches and
policies.
- Advises and reports on achievement of programme and project results,
proactively measuring substantive progress and the effective utilization
of financial and human project resources using appropriate monitoring and
measuring mechanisms and tools. Leads programme and project
implementation guiding and orienting executing agencies and project
personnel introducing effective modalities and practices of
implementation.
- Creates and documents knowledge by evaluating programmes, projects and
ongoing experience for lessons learned, best practices and replicable
strategies and approaches and actively shares and applies this
knowledge. Creates mechanisms to collect and share knowledge.
- Analyzes population and development, reproductive health and gender
issues in the country to provide substantive inputs to institutional
responses and advocacy strategies taking into account political and
social sensitivities. Takes opportunities to advocate and advance
UNFPAs policy agenda by participating in public information events. 
- Makes substantive contribution to the UN inter-agency cooperation in
the framework of CCA-UNDAF and joint programming.
- Contributes to the resource mobilization strategy by analyzing info on
potential donors, preparing substantive briefs and project proposals in
line with donor priorities, creating feedback mechanisms and providing
information on progress of donor funded projects. Identifies
opportunities for cost sharing.",All interested and qualified candidates.,1 Year Job Exp.
1441,Senior Data Analyst (Panel),YouGov,"Hybrid remote in Mumbai, Maharashtra","You'll have excellent data interrogation and analysis skills, using qualitative or quantitative data, to guide planning and prioritisation.",Posted3 days ago,2022-07-26,,1442,"- Takes responsibilities for receiving of UNFPA-procured cargoes and
processing customs clearance, including necessary correspondence and
communications with related Government authorities; prepares Receiving
and Inspection Reports in the required format and submit them to HQs
Procurement Unit.
- Maintains the inventory management and classification system for the
UNFPA warehouse; manages a distribution of medical equipment and
contraceptive supplies among NGOs and Government counterparts.
- Provides full range of logistical support for planning, securing and
implementing necessary arrangements for programme related activities and
events. Those services include rental of premises, procurement or rental
of required equipment and supplies, organization of simultaneous
interpretation services to support these events, securing accommodation
for and timely transportation of event participants, etc.
- Ensures timely and adequate conduct of competitive bidding for the
procurement of relevant equipment and supplies to address the needs of
the country programme and projects activities; including timely and
appropriate preparation of the essential documentation for LCC; 
- Fulfills necessary responsibilities related to accommodation and visa
processing for arriving consultants and staff; otherwise facilitates
immigration and customs formalities, meets arriving officials and
delegations at the airport.
- Assists in maintaining records of non-expendable office equipment and
furniture, timely reflects new entries in Inventory Cards, and makes
arrangements for inventory disposal; maintains the office equipment
ensuring its timely repair when required.
- Provide procedural advice and training to project staff of
Government-executed projects concerning procurement procedures,
preparation of necessary inventory reports, and vehicle records as per
required Rules and Regulations.
- Supervises the UNFPA project drivers, monitor the maintenance of
Vehicle Daily Logs and Vehicle History Records.
- Fulfils data management and office automation management functions;
addresses a broad range of office equipment maintenance
responsibilities, including installation of new computer systems and
items, maintaining of the such, both hardware and software, in the
operating condition, etc.  
- Drives office vehicles for the transport of authorized personnel and
ensures normal mechanical operation of the vehicle, performs timely
technical check-ups, ensures that the vehicle is kept clean and in good
running condition at all times.
- Ensure that the steps required by rules and regulations are taken in
case of involvement in accident.
- Maintains all records related to the use of UNFPA vehicle such as
Vehicle Daily Log and Vehicle History Record, and regularly submits them
to relevant administration officials.",All interested and qualified candidates.,2 Years Job Exp.
1442,BI Data Analyst,Lingaro Group,Remote in India,"Gathering data, analyzing data, modeling data.,Hands-on experience with data integration, data modeling.,Minimum 2-year experience in business data analysis and…",Posted30+ days ago,2022-07-26,,1443,"- In collaboration with Government counterparts, CST advisers, NGOs and
other partners contributes substantively to the formulation and design
of the country programme and its component projects in line with
Government priorities and according to UNFPA programme policies and
procedures. Ensures quality of programme/project design incorporating
lessons learned, newly developed policies and best practices and
establishing appropriate execution and monitoring mechanisms and
systems. 
- Analyzes and interprets the political, social and economic environment
relevant to population and development, reproductive health and gender
and identifies opportunities for UNFPA assistance and intervention.
Keeps abreast of new policy developments and strategies analyzing policy
papers, strategy documents, national plans and development frameworks and
prepares briefs and inputs for policy dialogue, technical assistance
coordination and development frameworks.
- Analyzes and reports on programme and project progress in terms of
achieving results, using existing monitoring and evaluation tools and
introducing new mechanisms and systems; identifies constraints and
resource deficiencies and recommends corrective action. Monitors
projects expenditures and disbursements to ensure delivery is in line
with approved project budgets and to realize targeted delivery levels.
- Expedites and coordinates project implementation establishing
collaborative relationships with executing agencies, experts, government
counterparts and other UN agencies facilitating timely and efficient
delivery of project inputs and addressing training needs of project
personnel
- Helps create and document knowledge about current and emerging
population development trends, RH and gender issues, by analyzing
programmes, projects, strategies, approaches and ongoing experience for
lessons learned, best practices, and shares with management for use in
knowledge sharing and planning future strategies.
- Assists advocacy and resource mobilization efforts of the Country
Office by preparing relevant documentation, i.e. project summaries,
conference papers, speeches, donor profiles and participating in donor
meetings and public information events.",All interested and qualified candidates.,< 1 Year
1443,Data Analyst,CarDekho,"Gurgaon, Haryana","Create various analysis for error handling in existing data products.,You will execute quantitative analysis that translates data into actionable insights.",Posted30+ days ago,2022-07-26,,1444,"- Providing of stable LAN/WAN and related services setup and
maintenance;
- Providing development of network infrastructure for fast growing
company;
- Providing user support and trainings in Internet/Intranet related
technologies.",All interested and qualified candidates.,< 1 Year
1444,Business Analyst- CSU,Ameriprise Financial,"Gurgaon, Haryana","Provide support to Registered Principals and Supervision leaders in conducting supervision by providing 1st level analysis of documents and processes, data…",Posted24 days ago,2022-07-26,,1445,"- To organize and manage technologically the staff of programmers;
- To cooperate cunstructively with the leaders of the company as well as
with the customers and other developers in planning the work and
activities of the organization;
- To test the production within the standards of the company;
- To realize technological and architechtural designing of the
production;
- To test and teach the newcommers, prepare promissing engeneers for the
company;
- To realize personally a part of a development process of the
production, and programming.",All interested and qualified candidates.,2 Years Job Exp.
1446,PPC Analyst,CedCommerce,"Lucknow, Uttar Pradesh","Google Analytics data analysis and reports.,Ability to analyze data through web analytics and expert knowledge on Google Analytics and Google Adwords.",Posted30+ days ago,2022-07-26,,1447,"Under the direct supervision of the Project
Manager, the Project Coordinator serves as the day-to-day lead for the
REP. The incumbent is responsible for the following job functions:
- Coordinates the overall operation of the project preparation
Works cooperatively with the specialists and consultants of the project
to develop project activities and objectives specified by the grant.
- Reports directly to and works closely with the Project Manager in
evaluation of the project activities.
- Performs all other duties required for the successful implementation
and operation of the project.","Graduate students of human rights,
environment and development issues",10 Years Job Exp.
1448,Data Analysts & Market Research,Razorpod,"Gurgaon, Haryana","Ability to derive stories from data & Visualization.,Conduct competitive research and analyze benchmarking data to drive relevant next steps for key brands.",EmployerActive 3 days ago,2022-07-26,"₹8,481 - ₹24,248 a month",1449,"- Policy and guidelines development;
- Organizational development;
- Development and support of training activities;
- Logistics/data management development;
- Monitoring and evaluation;
- Advocacy and health education;
- Operational research; 
- National collaboration and coordination;
- Regional collaboration.","We are looking for 4 people who love
challenges, are open to innovative technics and to learning.",< 1 Year
1450,Data Analyst,Cisco Systems,"Bengaluru, Karnataka","Ability to take data driven decisions.,Great with reporting, analytics, visualization of data.,Technical as well as business knowledge of data and database…",Posted22 days ago,2022-07-26,,1451,"- In coordination with SCs Country Director for Armenia, represent SC
and Public Works Program in formal and informal relationship with USAID,
and serve as the primary liaison with program partners, local NGOs and
sub-contractors.
- Lead the preparation of the annual work plan with senior staff and
partners and quid the timely production of reports and other Program
deliverables to USAID.
- Oversee management and provide support in the implementation of public
works projects.
- Assure adequate management systems are in place for financial
management, monitoring, evaluation and reporting in compliance with
program and agreement requirements.
- Support management of the Public Works Project to assure SC rules and
procedures regarding selection of projects and beneficiaries, community
participation, procurement and implementation quality are maintained;
- Supervise the senior staff of the Program.
- Ensure that all program activity undertaken by SC under the program
are consistent with the objectives of the approved program and SCs
long-term objectives as outlined in the current Armenia Field Office
Strategic Plan.",Citizens of RA,2 Years Job Exp.
1451,Data Processing Analyst I,"Arrow Electronics, Inc.","Delhi, Delhi","Prepare, check source information , verify data and correct data where necessary.,Comply with data integrity and security policies.",Posted30+ days ago,2022-07-26,,1452,"- Safeguarding of the premises;
- Protection of the Client's staff  and the property on the site;
- Strict adherence to the Assignment Orders and Instructions;
- Thorough performance of company security procedures.",Only highly qualified candidates.,Job for Fresh Graduates
1452,Capacity Planning Data Analyst,Johnson Controls,"Pune, Maharashtra",< >You will work with the Onshore Capacity Planning Data Analysts to produce capacity plans by country and domains to support delivery of Installations and…,Posted17 days ago,2022-07-26,,1453,"- Preparation of reports on product quality;
- Person, who will be responsible for micro-biological laboratory;
- Realizations of tests on different products, related to food industry.",Citizens of RA,3 Years Job Exp.
1454,Sr. Analyst - Accounting Data Management,WNS India,"Bengaluru, Karnataka","Able to understand the underlying reference data and data flows and its impact on reporting / accounting processes.,VBA Macros experience strongly preferred.",PostedPosted 6 days ago,2022-07-26,,1455,"The key elements of these roles are the
development and delivery of new or modified functionality based on our
given Remedy ARS platform. The candidates are required to work closely
with the other functional and technical members of the international
Service Platforms Team. This comprises a close relationship to the Test-
and QA-Department as well.",Doctors,3 Years Job Exp.
1455,Data Analyst - Power Systems Engineering,Cyient,"Hyderabad, Telangana","O Analyze raw data from technical attributes existing in reports.,We leverage digital technologies, advanced analytics capabilities, and our domain knowledge…",PostedPosted 10 days ago,2022-07-26,,1456,"The key elements of these roles are the
development and delivery of new or modified functionality based on our
given Remedy ARS platform. The candidates are required to work closely
with the other functional and technical members of the international
Service Platforms Team. This comprises a close relationship to the Test-
and QA-Department as well.",All interested candidates,3 Years Job Exp.
1456,Operations Analyst,"Nomura Holdings, Inc.",India,"Understanding of data base, data model and data visualization tools.,Participate in transformation efforts within Operations by re-engineering / automation of…",PostedToday,2022-07-26,,1457,"Periodically supply the festival web site with
new information.",Only highly qualified candidates,1 Year Job Exp.
1457,Business Analyst - Project Management (Exp),Applicate IT Solutions,"Gurgaon, Haryana","Technical skills required to understand client requirements & developing technical solutions by defining, analysing, and documenting those requirements. should…",PostedToday,2022-07-26,,1458,"- Maintain the accounting of MSF-Belgium in accordance with the RA Law
on Accounting and the RA Accounting Standards.
- Conduct salary calculations. 
- Prepare quarterly and annual reports to be presented to Tax Inspection
and Social Security Fund.",All interested and qualified candidates.,1 Year Job Exp.
1460,Lead Data Analyst - Payments,Careers at Tide,"Delhi, Delhi+2 locations","Developing SQL code to interrogate our data to solve key business problems.,As part of this team, you will be using your skills as an analytics and data science…",PostedPosted 9 days ago,2022-07-26,,1461,"- Through the terms of reference, carry out the third part of the
application in a documentation and workflow management. 
- Carry out implementation choice, encoding, unitary tests and your
modules integration. 
- Draft the technical documentation in English .",All interested and qualified candidates,1 Year Job Exp.
1461,Data Analyst (Overnight),24-7 Intouch,"Hyderabad, Telangana","Develop and maintain databases, data systems – reorganizing data in a readable format.,Proven working experience in data analysis.",PostedPosted 30+ days ago,2022-07-26,,1462,"Will be responsible for all project office
networks and website equipment/activities. Under the direction of the
Chief of Party, s/he will be responsible for the proper maintenance and
functioning of the server, computer, and multimedia equipment at all
times.",All interested and qualified candidates,1 Year Job Exp.
1462,Data Analyst - Audit,Ivy CompTech,"Hyderabad, Telangana","Processing confidential data and information according to guidelines.,Supporting initiatives for data integrity and normalization.",PostedPosted 30+ days ago,2022-07-26,,1463,"Will be responsible for installation and
maintenance of IT equipment, network systems, and computers in the
projects offices, and for the design and maintenance of databases
relating to business contacts, monitoring and evaluation of project
activities, and other related duties.",All interested and qualified candidates.,1 Year Job Exp.
1466,Data Analyst,Airtel India,"Gurgaon, Haryana","Assemble and summarize data to generate reports on financial status and risks (daily, weekly, monthly and quarterly).",PostedPosted 30+ days ago,2022-07-26,,1467,"Ensure the conformity of fulfillment and
formulation of the Programs financial operations with the laws of the
Republic of Armenia, all  requirements as set forth by USAID and DAI;
ensure that payments are based on the service provision, rent and any
other contracts made in relation to the Program are effected on a timely
basis; make sure that the powers of attorney related to HSBC bank
interactions are updated on a regular basis; manage the Programs petty
cash;handle staff time sheets and salary payments; organize all
financial operations using Microsoft Quicken software; prepare and
distribute consolidated monthly financial reports; coordinate monthly
fund requests with home office; coordinate the  payments based on the
service provision, rent and any other contracts made in relation to the
Program; provide for a timely and proper reference forms  defined for
VAT exemption  in accordance with the RoA Laws; fulfill other
assignments as deemed necessary.",All interested and qualified candidates,1 Year Job Exp.
1467,Business Analyst,ConcertAI,"Bengaluru, Karnataka","Familiarity with agile development and concepts such as databases, programming, statistical modeling, data visualization.",PostedPosted 3 days ago,2022-07-26,,1468,"- Process, register and file correspondence;
- Translat/interpret (texts and negotiations);
- Draft letters;
- Participate in preparation of advertising materials of the company and
promottion through Internet and other means.",Professional software engineers.,< 1 Year
1468,Business Analyst,Uber,"Hyderabad, Telangana","1-2 years of work experience in a data processing, data analysis and automation.,Proficiency in Excel/Sheets, SQL, and data visualization tools.",PostedPosted 30+ days ago,2022-07-26,,1469,"- Maintain Director's calendar, establish priorities at own discretion.
- Arrange meetings, invitations, engagements and other appointments on
behalf of the Director, make all arrangements for Director's travel. 
- Draft letters for the Director's review, proof-read and check
documents for the Director and handle special requests and projects as
required. 
- Translate/type letters/reports/faxes, etc. 
- Maintain comprehensive filing system to ensure instant retrieval of
documents. 
- Screen telephone calls for the Director, handle queries where possible
or where appropriate. 
- Make appropriate arrangements and process the letters, papers and
documents incoming to and outgoing from the Director's office. 
- Forward documents to the staff of the Director's office to ensure
deadlines are met. 
- Perform other duties as assigned.",All interested and qualified candidates.,3 Years Job Exp.
1472,Data warehouse Business Analyst,Codvo.ai,"Remote in Pune, Maharashtra","Working knowledge of data query tools, Business Objects.,Participate in the creation of Business Requirements Document.,Use Case Analysis and Documentation.",Posted30+ days ago,2022-07-26,,1473,"The key elements of these roles are the
development and delivery of new or modified functionality based on our
given Remedy ARS platform. The candidates are required to work closely
with the other functional and technical members of the international
Service Platforms Team. This comprises a close relationship to the Test-
and QA-Department as well.",All interested and qualified candidates.,3 Years Job Exp.
1473,"Scaled Abuse Analyst, YouTube",YouTube,"Hyderabad, Telangana","Experience in collecting, managing, and synthesizing data sets and information from sources, data mining, and data analysis.",Posted24 days ago,2022-07-26,,1474,"- Assist the MEH Coordinator in organizing smooth  operations of AECP
MEH including planning and technical aspects of MEH operations.
- Keep contact with the ophthalmologists working on MEH and make
instructions on equipment use and work with the patients. 
- Assist and train the personnel new to the MEH procedures on the
required examination and documentation procedures.
- Assist in  managing and updating  the inventory of MEH related office
equipment and furniture. 
- Provide for the liaison with the partners of AECP on operational
issues, including arrangements for travel, training, etc. 
- Perform any other related duties as deemed appropriate by AECP
management.","All interested candidates who reside in
Armenia.",1 Year Job Exp.
1475,Business Analyst,WebMobril Technologies,"Noida, Uttar Pradesh+3 locations","Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.",Posted9 days ago,2022-07-26,,1476,"- Analyze, assess the general ophthalmic education related country
environment, maintain continuous dialogue with partners to provide
advisory services, in consultation with senior management and government
counterparts identify the areas and modalities of AECP involvement in
training.
- Negotiate, design and formulate workplans/plans of action (including
establishment of monitoring mechanisms; introduction of performance
indicators/success criteria, targets and milestones; assessment of
counterpart support capacity. Advocate for them  in the government and 
to the counterparts and donors, develop critical partnership networks.
- Conduct a desk study of available materials,  study international
experience and best practices, assess existing training materials
available in Armenia for ophthalmic training of the above categories. 
- Develop and implement a continuum of medical education and training
programs and arrange trainings for the above categories of specialists.
- Monitor ongoing program activities  financially and  substantively to
ensure the efficient and timely delivery of inputs.",All eligible candidates.,< 1 Year
1477,Quality Analyst,ADCI - Tamil Nadu,"Chennai, Tamil Nadu","This will help is efficient data aggregation.,SM auditor should have an eye for detail and data accuracy skills.,Bachelor's Degree from good school.",PostedToday,2022-07-26,,1478,"- Handle all operative issues concerning sales and customer services;
- Learn and continuously improve knowledge of mobile devices and
accessories market;
- Systematize and supply management with up-to-date information on
customer preferences.",All interested and qualified candidates.,1 Year Job Exp.
1478,Internal Audit-BENGALURU-Analyst-Data Analytics,Goldman Sachs,"Bengaluru, Karnataka"," Experience with advanced data analytics tools and techniques., Knowledge of basic statistics, including descriptive statistics, data distribution models,…",Posted30+ days ago,2022-07-26,,1479,"- Carry out the project management;
- Communicate with customers;
- Prepare business plans, project proposals and project document
designs;
- Prepare technical documentation and designs;
- Participate in project development.",All interested and qualified candidates.,Job for Fresh Graduates
1479,Data Analyst,AaNeel,"Ahmedabad, Gujarat","Maintain the health of data sources, and data collection systems through stringent data quality check and process improvements.",Posted30+ days ago,2022-07-26,,1480,"- Single point of contact for mid-sized European customers;
- Complete Project Management for the implementation of campaigns;
- Efficient communication and co-ordination with European Product
Management;
- Regular analysis of campaign performance, self responsible
optimisation of campaigns and presentation to customers;
- Complaint management;
- Management of a small team including: establish team processes, ensure
highest possible quality and service to client, check the quality of
bookings from team, ensure daily operations, goal setting, evaluation
and motivation of team.","A senior ex-officer of the Ministry of
Nature protection or Ministry of Economic Affairs or any concerned
Government Agency/Institution maintaining very good relations with the
related Government Departments and officers will be an ideal candidate
for this position.",1 Year Job Exp.
1480,Business Data Analyst - ETL,AstraZeneca,"Chennai, Tamil Nadu","Experience in using one or more data visualisation tools (preferably Microstrategy).,Diverse minds that work cross- functionally and broadly together.",Posted6 days ago,2022-07-26,,1481,"- Country contact for one of the regions Germany, UK, France, Denmark,
Sweden, Italy, Spain and the Netherlands;
- Validation of incoming orders on their correctness;
- Accurate and timely set up of campaign and campaign related
information within the necessary tools (Doubleclick Adserver/ SAP);
- Monitoring, Analysing and Reporting of campaign performance for
assigned advertisers;
- Coordination of campaign optimization with sales force;
- Effective communication and co-operation with sales force and client.",All qualified candidates,5 Years Job Exp.
1483,Genome Analyst,MedGenome Labs,India,"Support in data analysis of projects.,Manage clinical report generation, closely work with the genome analyst team and close orders within TAT.",Posted30+ days ago,2022-07-26,,1484,"- Ensure highest possible quality of service and communication to the
European sales organizations;
- Information management: 
- Communicate on changes in tools, new ad forms etc.;
- Establish department performance metrics;
- Initiate new tools to optimise the departments' workflow;
- Customer work: 
- Efficient communication with customers/ complaint handling;
- Work with direct reports to ensure they are properly trained on all
systems needed to perform their job;
- Ensure that team follows department practices in work flow and
documentation; 
- Monitoring of campaign status reports;
- Setting goals for staff and evaluating performance, recruiting.","A senior ex-officer of the Ministry of
Ministry of Labor or Social Security or any concerned Government
Agency/Institution maintaining very good relations with the related
Government Departments and officers will be an ideal candidate for this
position.",< 1 Year
1485,Data Analyst,NEXTracker,"Hyderabad, Telangana","Adept at data prep, data modeling and data visualization.,Performs ETL work to pull data from source systems, including manipulating data, and placing in the…",Posted30+ days ago,2022-07-26,,1486,"- Prepare and submit Tax reports and Social Security Statments required
by RA legislation;
- Prepare reports to be submitted to the National Statistical Department
of RA;
- Prepare Annual Financial Statements.","Citizens of Armenia or ethnic Armenians
from the Armenian Diaspora without any limitation on citizenship.",Job for Fresh Graduates
1486,Data Analyst/Associate Analyst,PRS Legislative Research,"Delhi, Delhi","It is essential to have prior experience in data scraping, analysis and visualisation.,The candidate should have a background in data sciences, and should be…",Posted30+ days ago,2022-07-26,,1487,"- Learn and understand the DoubleClick DART Enterprise technology and
functionality, understand the surrounding systems, and system
architecture as it maps to our business needs;
- Become an expert in customising and integrating the DoubleClick
AdServer software;
- Prepare technical recommendations and define technical specifications
taking business requirements into account for development projects set
by Customer Care team;
- Prepare documentation;
- You will be responsible for completion of development projects within
agreed time-frames. Perform work planning, development, and second level
support for ad management.","Citizens of Armenia or ethnic Armenians
from the Armenian Diaspora without any limitation on citizenship.",< 1 Year
