,Eligibility
13935,All qualified candidates
13937,All qualified candidates
13943,All interested professionals
13944,All qualified and interested candidates
13946,All eligible candidates
13947,All qualified candidates
13950,All qualified candidates
13958,All interested and qualified candidates
13959,All interested and qualified candidates
13962,All interested and qualified candidates
13963,All candidates
13967,All qualified candidates
13969,All the interested candidates
13970,All qualified and interested candidates
13971,All interested and qualified candidates
13978,All qualified and interested candidates
13982,All qualified candidates
13988,All the interested candidates
13989,All qualified candidates
13991,All qualified candidates
14001,All qualified candidates
14002,All eligible candidates
14004,All the interested candidates
14006,All the interested candidates
14009,All qualified candidates
14010,All interested candidates
14015,Everyone
14016,All interested and qualified candidates
14018,All interested and qualified candidates
14022,All interested professionals
14024,All interested professionals
14026,All interested professionals
14027,"All interested professionals in the field
of sociology, political science, statistics and data management systems."
14032,All interested and qualified candidates.
14039,All the relevant candidates
14040,All qualified and interested candidates
14042,All interested candidates.
14043,All qualified and interested candidates
14051,All eligible candidates
14062,All interested candidates
14067,Open to internal and external candidates
14069,Open to internal and external candidates
14071,All eligible candidates
14097,All eligible candidates
14098,All interested candidates
14103,"Ameriabank is looking for driven,
motivated and enthusiastic young people to join the Team and pass 3
months on-job exclusive training with Ameriabank CJSC top members and
outstanding specialists. Those interns who will complete Generation A
program successfully will be considered for employment in different
unites, departments upon availability of relevant vacancy."
14105,All interested and qualified candidates
14116,All qualified candidates
14119,All qualified candidates
14122,All qualified candidates
14131,All qualified candidates
14135,All qualified candidates
14139,All eligible candidates
14147,All interested and qualified candidates
14156,All interested candidates
14161,All qualified candidates
14165,All qualified candidates
14170,All qualified candidates
14179,"Ameriabank is looking for driven,
motivated and enthusiastic young people to join the Team and pass 3
months on-job exclusive training with Ameriabank CJSC top members and
outstanding specialists. Those interns who will complete Generation A
program successfully will be considered for employment in different
unites, departments upon availability of relevant vacancy."
14189,All interested candidates
14190,All interested candidates
14201,All eligible candidates
14204,Everyone
14213,All qualified and interested candidates
14215,All interested and qualified candidates
14217,All qualified candidates
14222,All qualified candidates
14224,All qualified candidates
14226,All qualified candidates
14230,All interested candidates
14231,All qualified candidates
14238,All interested candidates
14244,All qualified candidates
14245,"All qualified candidates with initiative
of self development and leadership skills."
14250,All qualified candidates
14251,All interested candidates
14257,All qualified candidates
14288,All qualified and interested candidates
14289,All qualified and interested candidates
14301,Everyone
14303,All interested candidates
14311,All qualified candidates
14320,Everyone
14325,All qualified candidates
14330,All qualified candidates
14335,All qualified candidates
14338,Everyone
14340,All interested candidates.
14357,All qualified candidates
14360,All qualified candidates
14362,All qualified candidates
14371,All qualified candidates
14372,University students
14378,"All interested professionals in the
fields of Sociology, Statistics and Quantitative Fieldwork Management."
14383,"All interested professionals in the
fields of Sociology, Statistics and Quantitative Fieldwork Management."
14390,All qualified and interested candidates.
14391,All qualified and interested candidates
14392,All eligible candidates
14393,All eligible candidates
14394,All eligible candidates
14395,All qualified candidates
14397,All interested candidates
14398,All interested candidates
14404,All interested canditates.
14406,All the interested candidates
14409,All eligible candidates
14414,All the interested candidates
14416,All eligible candidates.
14421,All qualified and interested candidates
14422,All eligible candidates
14427,All qualified candidates
14430,All qualified and interested candidates
14432,All interested and qualified candidates
14435,All the interested candidates
14438,All eligible candidates
14445,All qualified candidates
14448,All interested candidates
14458,All qualified candidates
14471,All qualified candidates
14472,All qualified and interested candidates
14473,All qualified and interested candidates
14475,All qualified and interested candidates.
14477,All qualified and interested candidates.
14480,All qualified candidates
14492,All qualified and interested candidates.
14493,All qualified candidates
14494,"All qualified candidates who meet the
below described minimum requirements."
14495,All qualified and interested candidates
14497,All qualified and interested candidates.
14498,All qualified and interested candidates.
14500,All qualified and interested candidates.
14509,Everyone
14514,All qualified and interested candidates
14516,All qualified and interested candidates
14517,All interested candidates.
14519,"To be eligible for PFP, applicants must:
- Be a citizen and resident of Armenia;
- Be 25 to 35 years of age at the time of application;
- Be a college graduate (equivalent of a Bachelor's degree or higher);
- Be proficient in the English language. Those who are selected as
semi-finalists will be given an institutional TOEFL exam by the American
Councils, unless they have a valid TOEFL score over 500 (paper test) or
over 60 (IBT test) or its equivalent (for example, valid IELTS band 6 or
higher); 
- Have relevant experience in and commitment to a career in the public
sector and/ or non-profit sector in Armenia; 
- Have demonstrated leadership and collaborative skills."
14523,All qualified applicants
14524,All eligible candidates
14525,"Residents of Armenia who are nationals of
a Council of Europe member state."
14529,All qualified and interested candidates
14530,All qualified and interested candidates
14534,All interested and qualified candidates
14535,All interested and qualified candidates
14540,All qualified and interested candidates
14552,All qualified and interested candidates
14553,"Candidates who are residents in Armenia
and nationals of a Council of Europe member state."
14554,"Candidates who are residents in Armenia
and nationals of a Council of Europe member state."
14558,All qualified candidates
14559,All qualified and interested candidates
14566,All qualified candidates
14569,All interested and eligible candidates.
14572,All interested candidates
14578,All qualified candidates
14586,All interested candidates
14588,Everyone
14592,All qualified candidates
14594,All qualified candidates
14597,Everyone
14601,All interested and qualified candidates.
14606,Everyone
14608,All interested and qualified candidates.
14613,All qualified candidates
14619,All qualified candidates
14621,All qualified candidates
14625,All eligible candidates
14627,All qualified candidates
14629,All qualified and interested candidates.
14645,All qualified and interested candidates
14650,Everyone
14652,All qualified candidates
14655,All eligible candidates
14657,All qualified candidates
14669,Interested candidates
14671,Everyone
14672,Interested candidates
14673,Everyone
14674,All qualified candidates
14679,All interested and qualified candidates.
14680,All qualified candidates
14681,All interested candidates
14693,"All qualified and interested candidates
who are citizens of Vanadzor."
14707,All qualified individuals
14718,All interested candidates
14720,"Candidates who are residents in Armenia
and nationals of a Council of Europe member state."
14723,All eligible candidates
14724,All interested candidates
14727,All qualified candidates
14742,All interested candidates
14744,Everyone
14746,All eligible candidates
14755,All interested candidates
14759,All qualified candidates
14762,All qualified candidates
14767,All qualified candidates
14770,Everyone
14772,All interested candidates
14773,All eligible candidates
14774,Everyone
14776,All interested candidates
14779,All qualified candidates
14782,The consultant should be an individual.
14783,All qualified candidates
14791,All qualified candidates
14793,All qualified candidates
14809,All Interested candidates
14813,All qualified candidates
14814,All interested candidates
14815,All interested candidates
14818,All interested candidates
14821,"The candidates are ineligible if:
- Judicially declared incompetent or partially-incompetent;
- Suffer from any illness, which may impede the fulfillment of service
duties and practicing of responsibilities;
- Convicted of a crime and the conviction is not canceled or withdrawn
per the established order;
- Avoided compulsory military service;
- Have been deprived of the right to engage in certain activities or per
the legally-stipulated order have been prohibited to occupy certain
positions;
- During the past 3 years have been the head of an organization which
failed to meet the legal requirements of debtors of organization,
liquidated because of insolvency."
14824,"The candidates are ineligible if:
- Judicially declared incompetent or partially-incompetent;
- Suffer from any illness, which may impede the fulfillment of service
duties and practicing of responsibilities;
- Convicted of a crime and the conviction is not canceled or withdrawn
per the established order;
- Avoided compulsory military service;
- Have been deprived of the right to engage in certain activities or per
the legally-stipulated order have been prohibited to occupy certain
positions;
- During the past 3 years have been the head of an organization which
failed to meet the legal requirements of debtors of organization,
liquidated because of insolvency."
14826,All qualified candidates
14828,"The candidates are ineligible if:
- Judicially declared incompetent or partially-incompetent;
- Suffer from any illness, which may impede the fulfillment of service
duties and practicing of responsibilities;
- Convicted of a crime and the conviction is not canceled or withdrawn
per the established order;
- Avoided compulsory military service;
- Have been deprived of the right to engage in certain activities or per
the legally-stipulated order have been prohibited to occupy certain
positions;
- During the past 3 years have been the head of an organization which
failed to meet the legal requirements of debtors of organization,
liquidated because of insolvency."
14835,All the interested candidates
14836,All eligible candidates
14840,All the eligible candidates
14841,All qualified and interested candidates
14850,All qualified candidates
14854,All interested candidates
14856,All interested candidates
14859,All interested candidates
14865,All qualified candidates
14867,All interested and qualified candidates
14870,All interested candidates
14871,Everyone
14875,All interested and qualified candidates
14879,All eligible candidates
14888,All qualified candidates
14893,All qualified candidates
14897,All qualified candidates
14899,All interested candidates
14903,"Applicants cannot be government employees
or civil servants."
14904,"Applicants cannot be government employees
or civil servants."
14907,"Applicants cannot be government employees
or civil servants."
14908,"Applicants cannot be government employees
or civil servants."
14910,"Applicants cannot be government employees
or civil servants."
14914,All interested professionals
14917,All interested professionals
14919,All eligible candidates
14920,All qualified candidates
14924,All interested candidates
14932,All qualified candidates
14949,Everyone
14953,For all interested candidates
14956,All qualified candidates
14972,All eligible candidates
14973,All eligible candidates
14974,The incumbent should be an individual.
14975,The incumbent should be an individual.
14977,The incumbent should be an individual.
14978,The incumbent should be an individual.
14979,The incumbent should be an individual.
14980,All qualified candidates
14981,The incumbent should be an individual.
14984,All interested candidates
14986,The incumbent should be an individual.
14987,All qualified candidates
14988,The incumbent should be an individual.
14989,All interested candidates
14990,All qualified candidates
14992,The incumbent should be an individual.
14993,The incumbent should be an individual.
14994,The incumbent should be an individual.
14996,The incumbent should be an individual.
14997,The incumbent should be an individual.
14998,The incumbent should be an individual.
15001,All qualified candidates
15002,All qualified and interested candidates.
15005,All qualified candidates
15006,All qualified candidates
15014,Everyone
15015,Everyone
15020,All interested candidates
15022,All qualified candidates
15029,All eligible candidates
15034,All interested candidates
15035,All interested candidates
15037,All qualified candidates
15038,All qualified individuals
15043,All interested professionals
15045,"All interested professionals in the field
of Public Relations."
15051,All interested and qualified candidates
15053,All qualified professionals
15058,All qualified and interested candidates
15059,All qualified candidates
15062,All qualified candidates
15063,All qualified candidates
15067,"This position is open for citizens of
South Caucasian countries."
15077,All qualified candidates
15078,All qualified candidates
15096,All eligible candidates
15100,All eligible candidates
15101,All interested and qualified candidates.
15105,All eligible candidates
15106,All interested and qualified candidates.
15114,All qualified candidates
15117,All interested condidates
15124,All qualified candidates
15127,All interested condidates
15129,All qualified candidates
15131,Everyone
15136,All qualified candidates
15154,All qualified candidates
15156,All interested candidates
15157,"To be eligible for PFP, applicants must:
- Be a citizen and resident of Armenia;
- Be 25 to 35 years of age at the time of application;
- Be a college graduate (equivalent of a Bachelor's degree or higher);
- Be proficient in the English language. Those who are selected as
semi-finalists will be given an institutional TOEFL exam by the American
Councils, unless they have a valid TOEFL score over 500 (paper test) or
over 60 (IBT test) or its equivalent (for example, valid IELTS band 6 or
higher); 
- Have relevant experience in and commitment to a career in the public
sector and/ or non-profit sector in Armenia; 
- Have demonstrated leadership and collaborative skills."
15163,All interested and qualified candidates
15167,All interested and qualified candidates.
15179,All eligible candidates
15181,All the eligible candidates
15183,All qualified candidates
15184,All qualified candidates
15187,All qualified candidates
15189,All qualified candidates
15190,All interested candidates
15191,All eligible candidates
15192,All interested and qualified candidates
15198,All interested and qualified candidates
15199,All qualified candidates
15200,All qualified candidates
15201,All qualified candidates
15202,All qualified candidates
15208,All qualified and interested candidates.
15216,All qualified and interested candidates.
15217,Everyone
15221,Everyone
15222,"Candidates will be considered without respect to race, color, religion,
national origin or gender. Persons with disabilities are strongly
encouraged to apply. Competition for the Global Undergraduate Exchange
Program is merit-based and open to anyone who:
- Is a citizen, national or permanent resident qualified to hold a valid
passport issued by the country of Armenia, Azerbaijan, Belarus, Georgia,
Kazakhstan, Kyrgyzstan, Moldova, Russia, Tajikistan, Turkmenistan,
Ukraine, or Uzbekistan;
- Is currently residing in one of the following eligible countries:
Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova,
the Russian Federation, Tajikistan, Turkmenistan, Ukraine, or
Uzbekistan;
- Is enrolled as a full time undergraduate student in good academic
standing at the time of application at a registered academic institution,
public or private, in one of the 12 eligible countries. Correspondence
students in Tajikistan and Turkmenistan are also eligible to apply;
- Has satisfactorily completed at least one semester for which he/ she
will obtain some of her/ his final grades;
- Is not enrolled in her/ his final year of studies at the time of
application;
- Is at least 18 years old at the start of the program; 
- Submits a complete online application with all required documents by
the application deadline;
- Is able to begin the academic exchange program in the United States in
the fall of 2014;
- Is able to receive and maintain a U.S. J-1 visa;
- Is physically able to complete the program in its entirety;
- Is committed to returning to their home country after the completion of
the program;
- Is proficient in spoken and written English language at the time of
application."
15223,Business consultants
15224,All qualified candidates
15225,All qualified candidates
15231,All qualified candidates
15232,All qualified candidates
15241,All qualified individuals
15244,All interested candidates
15257,All eligible candidates
15260,All interested candidates
15270,All interested candidates
15284,All interested and qualified applicants
15297,Everyone
15316,All qualified candidates
15317,All interested candidates
15325,All interested candidates
15328,All interested and qualified candidates.
15336,All qualified candidates
15337,Qualified candidates
15339,Everyone
15342,Everyone
15345,All eligible candidates
15358,Qualified candidates
15378,The consultant should be an individual.
15385,"Doctors with specialization in
Pharmacology."
15392,All interested candidates
15393,All interested candidates
15394,All qualified candidates
15395,All qualified candidates
15397,All qualified candidates
15418,All interested candidates
15419,All qualified and interested candidates
15424,All qualified and interested candidates
15426,All qualified and interested candidates
15430,All qualified candidates
15431,All qualified candidates
15435,All interested and qualified candidates
15436,All qualified and interested candidates
15439,Everyone
15440,All qualified and interested candidates
15443,Everyone
15446,All qualified candidates
15452,All qualified and interested candidates
15457,"Candidates who are residents in Armenia
and nationals of a Council of Europe member state."
15459,All qualified candidates
15462,"Candidates who are residents in Armenia
and nationals of a Council of Europe member state."
15470,All interested candidates
15471,All interested candidates
15476,All qualified candidates
15482,All qualified and interested candidates
15483,All interested candidates
15488,All qualified and interested candidates
15489,All interested candidates
15490,All interested candidates
15501,All interested candidates
15511,"Applicants cannot be government employees
or civil servants."
15512,All interested candidates
15515,All interested candidates
15516,All interested candidates
15517,All interested candidates
15519,"Journalists, human rights defenders and
students with work experience in journalism."
15521,All interested and qualified candidates
15523,All interested and qualified candidates
15525,All interested candidates
15529,All qualified candidates
15533,All qualified and interested candidates
15534,All qualified candidates
15539,All qualified candidates
15546,All qualified candidates
15548,All the interested candidates
15551,"Applicants cannot be government employees
or civil servants."
15556,All eligible candidates
15561,All qualified professionals
15565,All interested and qualified candidates
15566,All the interested candidates
15572,All interested and qualified candidates
15576,All Interested Candidates
15577,All Interested Candidates
15579,All qualified candidates
15580,Open to all eligible candidates
15584,All interested candidates
15585,All qualified candidates
15589,All qualified candidates
15590,Highly qualified interpreters
15597,All interested and qualified candidates
15600,All qualified candidates
15601,All qualified candidates
15602,All qualified candidates
15603,All interested candidates
15606,All qualified candidates
15607,"This local recruitment procedure is open
to candidates resident in Armenia. The appointed candidate must be a
national of a Council of Europe member State."
15609,All qualified candidates
15610,All interested candidates
15613,All qualified candidates
15614,All interested candidates
15621,All interested candidates
15622,All interested and qualified candidates
15623,All interested and qualified candidates
15624,All interested and qualified candidates
15625,"Only selected eligible candidates will be
contacted for an interview."
15626,All qualified candidates
15630,All interested and qualified candidates
15633,All interested and qualified candidates
15634,"Only selected eligible candidates will be
contacted for an interview."
15637,"Ameriabank is looking for driven,
motivated and enthusiastic young people to join the Team and pass 3
months on-job exclusive training with Ameriabank CJSC top members and
specialists. Those interns who will complete Generation A program
successfully will be considered for employment in different unites,
departments upon availability of relevant vacancy."
15639,All qualified candidates
15652,All interested candidates
15661,All qualified candidates
15666,All interested candidates
15671,All qualified candidates
15682,All interested and qualified candidates.
15688,All qualified candidates
15691,All qualified candidates
15693,All qualified and interested candidates
15698,All interested candidates
15699,Everyone
15714,All qualified individuals
15719,Everyone
15722,All interested candidates
15728,"All qualified and interested candidates
who are citizens of Vanadzor."
15736,All qualified candidates
15737,All qualified candidates
15746,All qualified candidates
15751,All qualified candidates
15756,All qualified candidates
15757,All qualified candidates
15764,All qualified candidates
15768,All qualified and interested candidates
15773,All interested and qualified candidates
15775,All interested candidates
15781,All eligible candidates
15782,All eligible candidates
15783,All eligible candidates
15787,All interested and qualified candidates
15788,"Practicing consultants and start-up
consulting firms."
15793,All interested and qualified candidates
15797,All interested candidates
15798,All interested and qualified candidates
15801,All interested candidates
15804,All qualified candidates
15805,All really qualified candidates
15807,All interested and qualified candidates
15809,All interested and qualified candidates
15812,All interested and qualified candidates
15816,Everyone
15822,All qualified candidates
15827,All eligible candidates
15830,Everyone
15831,All qualified candidates
15833,All qualified candidates
15835,All interested candidates
15847,All qualified and interested candidates
15858,All qualified candidates
15863,All interested candidates
15864,All qualified candidates
15866,All interested and qualified applicants
15870,All qualified candidates
15871,All interested candidates
15875,All qualified and interested candidates
15878,All interested candidates
15879,All interested candidates
15880,All interested candidates
15883,All interested and qualified candidates
15884,All interested candidates
15887,All qualified candidates
15898,"Professionals in program development,
implementation, evaluation and reporting"
15899,Armenian citizenship/ residence
15904,All interested candidates
15907,"Legal Experts with strong analytical and
communication skills"
15910,All qualified and interested candidates
15915,All interested professionals
15918,All interested candidates
15919,All qualified candidates
15922,Everyone
15926,All interested professionals
15927,All interested candidates
15935,All interested professionals
15936,All interested candidates
15949,All interested candidates
15951,All interested candidates
15952,All interested candidates
15955,All interested candidates
15956,All qualified individuals
15958,All qualified and interested candidates
15963,All qualified and interested candidates
15964,All qualified individuals
15966,All qualified and interested candidates
15967,All qualified and interested candidates
15971,All interested candidates
15974,All interested candidates
15975,All interested candidates
15985,All qualified candidates
15987,All interested candidates
15998,All qualified candidates
16001,All highly qualified candidates
16005,All qualified and interested candidates
16006,All qualified national candidates
16012,All qualified candidates
16025,All qualified and interested candidates
16030,All interested and qualified candidates
16033,All interested and qualified candidates
16038,Everyone
16041,All qualifies candidates
16043,All interested and qualified candidates
16046,All candidates
16048,All candidates
16049,Everyone
16051,All qualified candidates
16055,All qualified candidates
16059,All qualified candidates
16062,"Only professionals with long time
experience will be invited for interview."
16065,"Only professionals with long term
experience."
16070,All the interested candidates
16082,All the interested candidates
16088,All qualified candidates
16096,"Applicants cannot be government employees
or civil servants."
16097,All qualified candidates
16100,"Freelance consultants, as well as
consultants who have an organizational affiliation, are eligible to
apply."
16103,All qualified candidates
16109,All qualified candidates
16120,All qualified candidates
16122,All qualified candidates
16123,All qualified and interested candidates
16129,"Applicants cannot be government employees
or civil servants."
16135,All qualified and interested candidates
16162,"Please see the terms and eligibility
criteria of Internship Programme with UNDP in Armenia at:http://www.am.undp.org/content/armenia/en/home/operations/jobs.html ."
16164,All interested candidates
16173,All interested candidates
16174,All qualified and interested candidates
16175,All interested candidates
16185,All qualified and interested candidates
16186,All qualified and interested candidates
16188,All qualified candidates
16191,All qualified and interested candidates
16198,All qualified candidates
16206,All the interested candidates
16207,All interested candidates
16208,All interested candidates
16217,All interested candidates
16225,All interested and qualified candidates
16239,Candidates with work experience
16242,All qualified candidates
16244,"Only applicants who best meet the
criteria indicated in this call will be considered for shortlisting.
Applicants cannot be government employees or civil servants."
16245,"Only applicants who best meet the
criteria indicated in this call will be considered for shortlisting.
Applicants cannot be government employees or civil servants."
16246,All qualified and interested candidates
16248,All qualified and interested candidates
16254,All interested and qualified candidates
16258,All interested and qualified candidates
16274,All interested candidates
16280,All eligible candidates
16282,Everyone
16283,All really qualified candidates
16286,All qualified candidates
16289,All qualified candidates
16299,All qualified candidates
16300,All interested candidates
16309,All eligible candidates
16325,"The candidate shall not be an employee at
any agency involved in customs clearance business."
16328,All interested candidates
16346,All qualified candidates
16368,All interested candidates
16375,Qualified candidates
16376,All interested candidates
16380,All interested candidates
16385,All interested and qualified candidates
16387,All qualified candidates
16388,All interested candidates
16392,All interested candidates
16398,Candidates with SAP work experience
16399,All qualified and interested candidates
16401,"The local recruitment procedure is open
to candidates resident in Armenia. The appointed candidate must be a
national of a Council of Europe member State."
16402,"The local recruitment procedure is open
to candidates resident in Armenia. The appointed candidate must be a
national of a Council of Europe member State."
16404,All the eligible candidates
16405,"The local recruitment procedure is open
to candidates resident in Armenia. The appointed candidate must be a
national of a Council of Europe member State."
16414,All interested and qualified candidates
16421,"University Graduates (Bachelor).
Graduation Date not before 2010."
16422,"Graduates from University (Bachelor).
Graduation Date not before 2007."
16425,All interested and qualified candidates
16426,All qualified candidates
16431,Residents of Armenia
16437,All qualified candidates
16441,All qualified candidates
16444,"All eligible, interested and qualified
candidates"
16445,All interested candidates
16449,All qualified candidates
16452,Everyone
16459,Everyone
16460,All qualified candidates
16471,All qualified candidates
16478,"Graduates from university (Bachelor) in
Finance and Economics."
16482,All qualified candidates
16484,All experienced and qualified candidates
16485,All qualified candidates
16488,All qualified candidates
16489,All qualified candidates
16496,Higher education in in financial field
16504,"Self-driven and hardworking personality,
good team player."
16506,All qualified candidates
16507,All interested and qualified candidates
16513,All interested candidates
16516,All interested candidates
16519,All qualified candidates
16522,All interested and qualified candidates
16525,Internal and external candidates
16529,Everyone
16531,All qualified and interested candidates
16533,"To be eligible for PFP, applicants must:
- Be a citizen and resident of Armenia;
- Be 25 to 35 years of age at the time of application;
- Be a college graduate (equivalent of a Bachelor's degree or higher);
- Be proficient in the English language. Those who are selected as
semi-finalists will be given an institutional TOEFL exam by the American
Councils, unless they have a valid TOEFL score over 500 (paper test) or
over 60 (IBT test) or its equivalent (for example, valid IELTS band 6 or
higher); 
- Have relevant experience in and commitment to a career in the public
sector and/ or non-profit sector in Armenia; 
- Have demonstrated leadership and collaborative skills."
16535,All interested candidates
16538,All qualified candidates
16542,All interested and qualified candidates
16546,Everyone
16547,Everyone
16548,Everyone
16550,All interested candidates
16551,All interested candidates
16565,All qualified candidates
16568,All really qualified candidates
16571,All qualified candidates
16572,All interested candidates
16576,All qualified candidates
16577,Everyone
16580,"Senior finance professionals, with strong
financial business analytics experience."
16582,All interested candidates
16586,All qualified candidates
16588,All really qualified candidates
16591,All qualified candidates
16605,All interested candidates
16610,All interested candidates
16613,All qualified candidates
16616,All qualified candidates
16617,All interested candidates
16623,All the interested candidates
16625,All qualified candidates
16640,All qualified candidates
16644,All interested and qualified candidates
16646,"All qualified candidates. Medical
check-up will be required for the chosen candidate."
16653,All qualified candidates
16654,All qualified candidates
16655,All qualified candidates
16656,Everyone
16660,All qualified candidates
16664,All interested candidates
16665,All qualified candidates
16667,All interested candidates
16669,All interested  candidates
16671,"All interested candidates having
experience and demonstrating profound knowledge in the area."
16674,"All candidates meeting the required
qualifications"
16682,ASAP
16683,All interested candidates
16688,All qualified management consultants
16690,Everyone
16701,All interested and qualified candidates
16703,"All interested candidates having
experience and demonstrating profound knowledge in the area."
16705,All interested candidates
16721,All qualified candidates
16723,All interested candidates
16726,All qualified candidates
16727,Everyone
16732,All interested candidates
16733,All interested candidates
16734,All interested candidates
16735,All qualified and interested candidates
16738,All qualified candidades
16739,Students and graduates
16745,All interested and qualified candidates
16748,All interested and qualified candidates
16752,All qualified and interested candidates
16760,All interested candidates
16762,Experienced Travel Agents
16763,All interested candidates
16765,All qualified and interested candidates
16766,All qualified and interested candidates
16767,All qualified and interested candidates
16781,All qualified and interested candidates
16787,All eligible candidates
16789,"At least 2 years of experience in
software development and fluency in English language."
16796,All qualified and interested candidates
16797,"At least 1 year of experience with
Microsoft CRM and fluency in English language."
16798,"At least 4 years of experience working in
software development and fluency in English language."
16807,Everyone
16810,"Ability to speak, write, read and
understand English language, but English language skills do not need to
be perfect."
16817,All qualified candidates.
16821,All qualified candidates
16829,All interested candidates
16832,All qualified and interested candidates
16833,All interested candidates
16842,All qualified and interested candidates
16843,All interested candidates
16847,All eligible candidates
16849,All interested candidates
16856,All interested and qualified candidates
16865,Human Resources Professionals
16867,Everyone
16869,All qualified and interested candidates
16870,All qualified individuals
16871,All qualified and interested candidates
16875,All qualified candidates
16879,All qualified candidates
16880,All qualified candidates
16881,All qualified candidates
16882,All qualified candidates
16887,All qualified candidates
16888,All qualified candidates
16896,All qualified and interested candidates
16900,All qualified candidates
16901,Everyone
16905,All qualified candidates
16906,All qualified candidates
16909,All interested candidates
16912,All interested and qualified candidates
16913,All interested candidates
16914,All interested candidates
16917,All qualified candidates
16920,"Applicants cannot be government employees
or civil servants."
16923,"Enthusiastic candidates, passionate with
our country and its history, having a good background in Tourism field,
as well as high level knowledge of Russian and English languages."
16934,"For self driven, hard working, good team
player people."
16938,All qualified and interested candidates.
16940,"The South Caucasus regional office of the
Heinrich Bll Foundation (Tbilisi, Georgia) is seeking a Project Manager
in Yerevan for a new three-year project LGBTI-Solidarity Network in
Armenia and Georgia funded by the European Commission (EIDHR)."
16942,"For self-driven, hardworking, good team
player people."
16944,"For self driven, hard working, good team
player people."
16945,"For self-driven, hardworking, good team
player people."
16951,"This local recruitment procedure is open
to candidates resident in Armenia. The appointed candidate must be a
national of a Council of Europe member State."
16952,"The local recruitment procedure is open
to candidates resident in Armenia. The appointed candidate must be a
national of a Council of Europe member State."
16953,Everyone
16955,"All candidates meeting the required
qualifications."
16975,"Candidates with at least 3 years of work
experience."
16980,All interested candidates
16983,"Self-driven, hard-working, team oriented
people for working in a software development organization."
17013,All qualified and interested candidates.
17025,All interested and qualified candidates.
17027,All interested candidates
17028,Local Evaluator
17029,All interested candidates
17048,All qualified candidates
17050,Everyone
17056,Everyone
17059,All qualified candidates
17063,"All candidates meeting the required
qualifications."
17067,All interested candidates
17073,All interested candidates
17083,All interested candidates
17095,Everyone
17107,All interested candidates
17110,All interested candidates.
17112,All interested candidates.
17116,All interested candidates.
17127,All qualified candidates.
17137,All qualified candidates
17142,All qualified candidates
17143,All qualified candidates
17154,All Interested Candidates.
17156,All qualified candidates.
17160,All qualified candidates.
17169,All interested candidates.
17172,All qualified candidates.
17173,"All candidates meeting the required
qualifications."
17174,All qualified candidates.
17177,All qualified candidates
17178,All interested candidates.
17180,All interested candidates.
17184,All the interested candidates.
17206,All really qualified candidates
17222,All qualified candidates
17224,All interested candidates.
17225,Both graduates and students
17227,All interested candidates
17228,All interested candidates.
17234,All qualified candidates
17237,All interested candidates
17238,All interested candidates
17239,All interested candidates
17241,All qualified candidates
17246,Everyone
17249,All the interested candidates
17262,All qualified candidates
17263,All the qualified candidates
17271,All interested candidates
17281,All interested candidates
17285,"Applicants cannot be government employees
or civil servants."
17287,All interested candidates
17289,All eligible candidates
17295,All qualified candidates
17300,All qualified candidates.
17304,All interested and qualified candidates
17312,All interested candidates
17318,All qualified candidates
17319,All qualified candidates
17321,All qualified candidates
17323,All qualified candidates
17325,All qualified candidates
17334,All interested candidates
17339,All qualified candidates
17341,Everyone
17343,All qualified candidates
17346,"Those who have the right to live and work
in Armenia"
17351,Candidates with work experience.
17362,All qualified candidates
17366,All qualified and interested candidates.
17373,"All qualified candidates. Preference will
be given to residents of Lori region."
17375,All qualified candidates.
17380,All qualified and interested candidates.
17381,"The applicant must be a citizen of
Armenia or an ethnic Armenian from the Armenian Diaspora without any
limitation on citizenship."
17382,Everyone
17387,All interested candidates.
17406,All interested and qualified candidates.
17414,All interested candidates.
17420,Everyone
17422,All interested candidates.
17426,All Interested candidates.
17429,All Interested candidates.
17436,Everyone
17437,All qualified candidates.
17460,Everyone
17464,All interested and qualified candidates.
17466,All qualified candidates.
17467,All qualified candidates.
17469,All interested candidates
17471,All qualified candidates.
17484,All interested and qualified candidates.
17506,All qualified candidates
17510,All qualified candidates.
17511,All interested candidates
17512,"All ordinarily resident (or) applicants
must have the required work and/ or residency permits to be eligible for
consideration."
17515,All interested candidates.
17521,Everyone
17537,Everyone
17540,All qualified candidates.
17547,All interested candidates
17548,All the interested candidates.
17549,All the interested candidates
17552,All qualified candidates.
17558,All interested and qualified candidates.
17574,All Qualified candidates
17576,Management Consultants
17578,All qualified candidates
17602,All qualified candidates.
17608,Everyone
17611,Everyone
17612,All interested candidates.
17615,All interested candidates.
17621,All interested candidates.
17628,All qualified candidates
17633,All qualified candidates.
17637,All eligible candidates.
17653,All interested candidates.
17654,All the interested candidates
17655,All interested and qualified candidates.
17657,All qualified candidates.
17664,Everyone
17667,All qualified candidates
17675,All eligible candidates
17676,All qualified candidates
17677,Everyone
17688,All interested candidates
17691,All qualified candidates
17692,All qualified candidates
17693,All interested professionals
17699,All interested candidates
17701,All qualified candidates
17722,All qualified candidates
17724,All qualified candidates.
17726,All qualified candidates.
17728,All qualified candidates.
17733,Only to the nationals of Armenia.
17734,Only to the nationals of Armenia.
17737,All qualified candidates
17739,All interested and qualified candidates
17740,All interested and qualified candidates
17741,All interested and qualified candidates.
17742,All qualified candidates.
17752,All interested candidates.
